disease,age_min,age_max,age_peak,male_pct
anemia due to malignancy,40,90,65,55
anemia of chronic disease,30,90,65,50
angina,40,85,65,60
ankylosing spondylitis,15,50,30,70
anxiety,10,80,30,40
aortic valve disease,50,90,70,55
aphakia,0,90,70,45
aphthous ulcer,5,60,25,45
aplastic anemia,5,70,30,55
appendicitis,5,50,20,55
arrhythmia,20,90,65,55
arthritis of the hip,40,90,65,45
ascending cholangitis,40,80,65,50
asperger syndrome,3,40,15,80
aspergillosis,20,80,55,60
astigmatism,0,80,20,50
atonic bladder,40,90,65,55
atrial flutter,40,90,70,65
atrophic skin condition,50,95,75,40
atrophy of the corpus cavernosum,40,80,65,100
attention deficit hyperactivity disorder (adhd),3,25,10,65
autism,2,30,8,75
autonomic nervous system disorder,20,80,50,50
avascular necrosis,20,60,40,65
balanitis,10,70,40,100
bell palsy,15,70,40,50
benign kidney cyst,40,90,65,55
benign paroxysmal positional vertical (bppv),40,90,65,40
benign prostatic hyperplasia (bph),45,90,70,100
benign vaginal discharge (leukorrhea),10,50,30,0
birth trauma,0,0,0,55
bladder cancer,50,90,70,75
bladder disorder,20,90,60,50
bladder obstruction,40,90,65,65
blepharitis,10,80,50,50
blepharospasm,40,80,60,40
bone cancer,10,70,30,55
bone disorder,20,90,60,50
bone spur of the calcaneous,30,80,55,45
brachial neuritis,20,70,45,55
brain cancer,10,80,55,55
breast cancer,30,90,60,1
breast cyst,20,60,40,5
breast infection (mastitis),18,45,30,5
bursitis,30,80,55,50
carcinoid syndrome,40,80,60,50
carpal tunnel syndrome,20,70,45,30
cat scratch disease,5,40,15,55
cataract,50,95,70,45
celiac disease,1,70,30,40
central atherosclerosis,50,90,70,60
central retinal artery or vein occlusion,50,90,70,55
cerebral edema,10,80,50,55
cervical cancer,25,70,45,0
cervical disorder,20,70,45,30
cervicitis,15,50,30,0
chickenpox,1,30,6,50
chlamydia,15,35,22,45
chondromalacia of the patella,15,40,25,40
chorioretinitis,10,70,40,50
chronic back pain,20,80,45,50
chronic constipation,5,90,50,40
chronic glaucoma,40,90,65,50
chronic inflammatory demyelinating polyneuropathy (cidp),20,80,55,60
chronic knee pain,30,85,55,45
chronic otitis media,1,20,6,55
chronic pancreatitis,30,70,50,65
chronic rheumatic fever,10,40,20,50
chronic ulcer,40,90,65,55
coagulation (bleeding) disorder,0,80,30,50
colorectal cancer,40,90,65,55
complex regional pain syndrome,20,60,40,30
conduct disorder,5,18,12,65
congenital heart defect,0,10,1,50
congenital malformation syndrome,0,5,0,50
conjunctivitis,0,80,20,50
conjunctivitis due to allergy,0,60,15,45
conjunctivitis due to bacteria,0,60,10,50
conjunctivitis due to virus,0,60,10,50
connective tissue disorder,10,70,40,30
contact dermatitis,0,80,30,45
conversion disorder,15,50,30,25
corneal abrasion,5,70,30,65
cranial nerve palsy,20,80,55,55
crohn disease,10,60,30,50
croup,0,6,2,55
cryptococcosis,20,80,50,65
cushing syndrome,20,70,45,25
cyst of the eyelid,10,70,40,45
cystic fibrosis,0,40,10,55
cystitis,5,85,35,20
de quervain disease,20,60,40,30
decubitus ulcer,40,95,75,55
degenerative disc disease,30,85,55,50
delirium,50,95,80,55
dementia,60,100,80,45
dental caries,2,80,15,50
depression,10,85,35,40
dermatitis due to sun exposure,10,80,45,50
developmental disability,0,18,5,60
deviated nasal septum,10,60,25,65
diabetes insipidus,5,70,30,55
diabetic ketoacidosis,5,60,25,55
diabetic kidney disease,30,90,65,55
diabetic peripheral neuropathy,30,90,60,55
dissociative disorder,15,50,30,30
diverticulitis,40,90,65,50
diverticulosis,40,95,70,50
down syndrome,0,50,0,55
drug abuse,15,70,35,65
drug abuse (barbiturates),20,70,40,60
drug abuse (cocaine),18,60,35,70
drug abuse (methamphetamine),18,60,35,65
drug abuse (opioids),18,75,40,60
drug poisoning due to medication,0,90,30,50
drug reaction,0,90,40,45
drug withdrawal,18,70,40,65
dry eye of unknown cause,30,90,60,30
dumping syndrome,20,70,45,40
dyshidrosis,10,60,30,45
dysthymic disorder,15,80,40,40
ear drum damage,5,70,30,60
ear wax impaction,5,90,50,50
ectopic pregnancy,18,45,30,0
ectropion,60,95,75,55
eczema,0,70,15,50
edward syndrome,0,1,0,50
empyema,10,80,55,60
encephalitis,5,80,40,55
endocarditis,20,85,55,60
endometrial cancer,45,85,65,0
endometrial hyperplasia,35,65,50,0
ependymoma,0,60,10,55
epididymitis,10,60,30,100
epidural hemorrhage,5,80,40,70
epilepsy,0,80,15,55
erectile dysfunction,30,90,60,100
erythema multiforme,10,50,30,50
esophageal varices,30,80,55,60
esophagitis,20,80,50,55
essential tremor,20,90,60,55
eustachian tube dysfunction (ear disorder),2,60,20,50
extrapyramidal effect of drugs,20,80,50,50
factitious disorder,15,60,35,30
female genitalia infection,10,60,30,0
female infertility of unknown cause,20,40,30,0
fibroadenoma,15,40,25,5
fibrocystic breast disease,20,55,40,5
flat feet,0,40,10,50
floaters,30,90,60,50
flu,0,90,25,50
fluid overload,30,95,70,55
folate deficiency,20,80,55,50
food allergy,0,60,10,55
friedrich ataxia,5,30,15,50
fungal infection of the hair,2,15,7,55
fungal infection of the skin,5,80,30,55
g6pd enzyme deficiency,0,60,5,90
galactorrhea of unknown cause,15,45,30,5
gallstone,20,80,50,40
ganglion cyst,15,50,30,40
gas gangrene,20,80,55,65
gastroduodenal ulcer,20,80,50,60
gastrointestinal hemorrhage,40,90,65,55
gastroparesis,20,80,50,40
genital herpes,15,60,30,45
gestational diabetes,18,45,30,0
glucocorticoid deficiency,0,70,30,50
goiter,10,70,40,30
gonorrhea,15,40,25,50
gout,30,85,55,80
granuloma inguinale,20,50,35,60
graves disease,20,60,40,25
guillain barre syndrome,10,80,45,55
gum disease,15,90,45,55
gynecomastia,10,70,25,100
hammer toe,30,80,60,35
head and neck cancer,40,85,60,70
heart attack,35,90,60,70
hemangioma,0,60,5,45
hematoma,0,90,40,55
hemiplegia,20,90,60,55
hemochromatosis,20,80,50,65
hemolytic anemia,0,80,30,50
hemophilia,0,60,10,95
hemorrhoids,20,80,45,50
hepatic encephalopathy,30,80,60,55
hepatitis due to a toxin,20,70,45,60
herpangina,1,10,4,50
hiatal hernia,30,90,60,50
hidradenitis suppurativa,15,50,30,40
high blood pressure,25,90,55,50
hirschsprung disease,0,5,0,65
hirsutism,10,45,25,5
histoplasmosis,10,70,40,60
hormone disorder,10,80,40,45
hpv,15,45,25,45
human immunodeficiency virus infection (hiv),15,70,35,60
huntington disease,30,60,45,50
hydatidiform mole,15,45,25,0
hydrocele of the testicle,0,70,30,100
hydrocephalus,0,80,5,55
hydronephrosis,0,80,40,55
hypercalcemia,30,90,60,50
hypercholesterolemia,20,90,55,50
hyperemesis gravidarum,18,40,25,0
hypergammaglobulinemia,20,80,50,45
hyperlipidemia,20,90,55,50
hypernatremia,0,90,65,55
hyperopia,5,90,50,45
hyperosmotic hyperketotic state,40,90,65,55
hypertension of pregnancy,18,45,30,0
hypertensive heart disease,40,90,65,55
hypocalcemia,0,90,40,50
hypokalemia,10,90,55,50
hyponatremia,0,95,65,55
hypothermia,0,95,70,55
hypovolemia,0,95,50,55
idiopathic absence of menstruation,12,40,25,0
idiopathic excessive menstruation,12,50,30,0
idiopathic infrequent menstruation,12,45,28,0
idiopathic irregular menstrual cycle,12,45,25,0
idiopathic nonmenstrual bleeding,15,55,35,0
idiopathic painful menstruation,12,35,20,0
ileus,20,90,60,55
impetigo,1,15,6,55
impulse control disorder,10,50,25,65
indigestion,15,90,45,50
infection of open wound,0,90,40,55
inguinal hernia,0,90,50,80
injury to the abdomen,0,80,30,65
insulin overdose,10,80,35,50
interstitial lung disease,30,90,60,55
intertrigo (skin condition),0,90,50,45
intestinal cancer,40,90,65,55
intestinal disease,0,90,45,50
intestinal obstruction,20,90,60,55
intracerebral hemorrhage,40,90,65,60
intracranial abscess,5,70,40,55
intussusception,0,5,1,60
iridocyclitis,15,70,40,50
iron deficiency anemia,5,85,30,30
irritable bowel syndrome,15,60,35,35
ischemic heart disease,40,90,65,70
itching of unknown cause,20,90,50,45
jaw disorder,15,70,40,45
joint effusion,20,80,50,50
kaposi sarcoma,20,70,45,75
kidney cancer,40,85,65,65
kidney disease due to longstanding hypertension,40,90,65,55
kidney failure,30,95,65,55
kidney stone,20,70,45,60
knee ligament or meniscus tear,10,60,30,65
labyrinthitis,20,60,40,45
lactose intolerance,5,80,25,50
laryngitis,5,80,35,50
lateral epicondylitis (tennis elbow),30,65,45,55
leukemia,0,85,50,55
lewy body dementia,60,95,75,65
lichen planus,30,70,50,45
lichen simplex,20,80,50,45
lipoma,20,80,50,50
liver disease,30,90,60,60
lumbago,20,80,45,50
lung cancer,45,90,65,65
lyme disease,5,70,40,55
lymphadenitis,5,60,25,50
lymphangitis,10,70,40,55
lymphedema,20,90,55,40
lymphogranuloma venereum,15,45,30,60
lymphoma,15,90,55,55
macular degeneration,55,95,75,45
magnesium deficiency,20,90,60,50
malaria,1,70,25,55
male genitalia infection,10,70,35,100
malignant hypertension,30,80,55,60
marijuana abuse,15,60,30,65
meckel diverticulum,0,30,5,60
melanoma,25,85,55,60
meniere disease,20,70,45,50
meningioma,30,80,55,35
metastatic cancer,40,95,65,55
migraine,5,60,30,30
mitral valve disease,40,90,65,45
mittelschmerz,12,35,25,0
molluscum contagiosum,2,40,10,50
mononeuritis,20,80,50,55
mononucleosis,10,35,20,50
moyamoya disease,0,40,10,45
mucositis,10,80,50,50
multiple myeloma,40,90,65,60
mumps,2,40,10,55
muscle spasm,10,80,40,50
muscular dystrophy,0,40,10,65
myelodysplastic syndrome,50,95,70,60
myocarditis,10,70,35,60
myoclonus,5,80,40,50
myopia,5,50,20,50
myositis,10,80,45,50
narcolepsy,10,50,25,55
nasal polyp,20,70,45,60
necrotizing fasciitis,20,80,50,60
nerve impingement near the shoulder,30,70,50,55
neuralgia,20,90,55,50
neurofibromatosis,0,50,20,50
neuropathy due to drugs,20,80,55,55
neurosis,15,70,35,40
noninfectious gastroenteritis,0,90,30,50
nose disorder,0,80,30,50
obsessive compulsive disorder (ocd),10,60,25,45
obstructive sleep apnea (osa),20,80,50,70
omphalitis,0,1,0,55
onychomycosis,20,90,55,60
oppositional disorder,5,18,12,65
optic neuritis,15,50,30,40
oral leukoplakia,30,80,55,65
oral mucosal lesion,10,80,45,50
oral thrush (yeast infection),0,90,40,50
orbital cellulitis,1,40,10,55
orthostatic hypotension,40,90,65,55
osteoarthritis,40,95,65,45
osteochondroma,5,30,15,55
osteomyelitis,5,80,40,60
osteoporosis,40,95,70,25
otitis externa (swimmer's ear),5,70,30,50
otitis media,0,15,3,55
otosclerosis,20,50,35,40
ovarian cancer,40,85,60,0
ovarian cyst,15,50,30,0
overflow incontinence,40,90,65,55
pain after an operation,0,90,50,50
pain disorder affecting the neck,20,80,45,45
pancreatic cancer,40,90,65,55
panic attack,15,60,30,40
parasitic disease,0,80,25,50
parathyroid adenoma,40,80,60,30
parkinson disease,45,90,65,60
paronychia,5,80,35,50
paroxysmal supraventricular tachycardia,10,70,35,45
paroxysmal ventricular tachycardia,30,85,60,65
pelvic fistula,20,70,40,30
pelvic inflammatory disease,15,45,25,0
pemphigus,30,80,55,50
pericarditis,20,70,40,60
peripheral arterial disease,50,95,70,60
peripheral arterial embolism,40,90,65,55
peripheral nerve disorder,20,80,50,55
perirectal infection,20,70,40,55
peritonsillar abscess,10,40,25,50
persistent vomiting of unknown cause,0,90,35,50
personality disorder,15,60,30,50
peyronie disease,40,70,55,100
pharyngitis,5,60,20,50
phimosis,0,70,10,100
pinguecula,30,80,55,45
pituitary disorder,10,80,45,50
pityriasis rosea,10,35,20,50
placenta previa,18,45,30,0
placental abruption,18,45,30,0
plantar fasciitis,30,80,50,45
pleural effusion,20,95,65,55
pneumoconiosis,30,85,60,80
pneumonia,0,95,60,55
pneumothorax,15,60,30,70
poisoning due to anticonvulsants,0,90,35,50
poisoning due to antihypertensives,0,90,40,50
poisoning due to antipsychotics,10,90,40,50
poisoning due to gas,0,90,40,55
poisoning due to opioids,15,80,35,60
polycystic ovarian syndrome (pcos),15,45,25,0
polycythemia vera,40,90,65,60
polymyalgia rheumatica,50,90,70,40
post-traumatic stress disorder (ptsd),15,70,35,45
postoperative infection,0,95,55,50
preeclampsia,18,45,30,0
premature atrial contractions (pacs),20,90,55,50
premature ovarian failure,15,40,30,0
premature rupture of amniotic membrane,18,45,30,0
premature ventricular contractions (pvcs),20,90,55,55
premenstrual tension syndrome,12,50,30,0
presbyacusis,50,100,75,55
presbyopia,40,100,55,50
priapism,10,70,35,100
primary immunodeficiency,0,40,5,55
primary insomnia,15,80,45,45
primary kidney disease,10,90,55,55
primary thrombocythemia,40,90,65,55
problem during pregnancy,18,45,30,0
prostate cancer,50,95,70,100
prostatitis,20,70,40,100
protein deficiency,0,80,25,50
pseudohypoparathyroidism,0,40,15,50
pseudotumor cerebri,15,45,30,20
psoriasis,10,80,30,50
psychosexual disorder,18,60,35,50
psychotic disorder,15,70,30,55
pterygium,20,70,45,50
pulmonary fibrosis,40,90,65,60
pulmonary hypertension,30,85,60,55
pulmonic valve disease,0,80,40,50
pyogenic skin infection,0,80,30,55
raynaud disease,15,60,30,20
reactive arthritis,20,50,30,65
rectal disorder,20,80,45,50
retinal detachment,20,80,50,60
rhabdomyolysis,10,70,40,65
rheumatic fever,5,30,15,50
rocky mountain spotted fever,5,70,35,55
rosacea,20,70,45,40
sarcoidosis,20,60,40,50
scabies,0,80,20,50
scar,0,90,30,50
scarlet fever,2,15,6,50
sciatica,20,80,50,50
scleritis,20,70,45,45
scleroderma,20,70,45,25
scoliosis,5,40,15,40
scurvy,0,80,40,50
seasonal allergies (hay fever),0,60,20,45
seborrheic dermatitis,0,80,30,55
seborrheic keratosis,40,100,65,45
sensorineural hearing loss,30,100,65,55
septic arthritis,0,90,50,55
shingles (herpes zoster),20,95,60,50
sialoadenitis,10,80,45,50
sickle cell anemia,0,50,10,50
sickle cell crisis,0,50,15,50
sinus bradycardia,20,90,55,55
sjogren syndrome,20,70,45,15
skin disorder,0,90,40,50
skin pigmentation disorder,0,80,30,45
smoking or tobacco addiction,15,80,40,70
social phobia,10,50,25,45
soft tissue sarcoma,10,85,55,55
somatization disorder,15,60,35,30
spermatocele,20,70,45,100
spherocytosis,0,40,10,55
spina bifida,0,10,0,50
spinal stenosis,40,95,65,55
spinocerebellar ataxia,20,70,45,50
spondylolisthesis,10,80,40,50
sporotrichosis,10,70,40,60
sprain or strain,5,80,25,55
stenosis of the tear duct,0,80,10,45
strep throat,3,40,10,50
stress incontinence,20,90,50,25
stricture of the esophagus,30,90,60,55
subacute thyroiditis,20,60,40,30
subarachnoid hemorrhage,20,90,55,60
subconjunctival hemorrhage,20,90,55,50
syndrome of inappropriate secretion of adh (siadh),20,90,60,55
syphilis,15,70,35,55
syringomyelia,10,60,35,50
systemic lupus erythematosis (sle),15,55,30,10
temporary or benign blood in urine,20,80,45,55
temporomandibular joint disorder,15,60,35,30
tendinitis,20,80,45,50
tension headache,10,80,35,45
testicular cancer,15,45,30,100
testicular disorder,10,70,35,100
testicular torsion,10,25,16,100
thalassemia,0,50,10,50
thoracic outlet syndrome,20,60,40,35
threatened pregnancy,18,45,30,0
thrombocytopenia,0,90,40,50
thyroid cancer,20,80,50,30
thyroid disease,10,90,45,30
thyroid nodule,20,80,50,25
tic (movement) disorder,5,25,10,65
tietze syndrome,15,50,30,50
tonsillar hypertrophy,2,20,8,55
tooth abscess,10,80,40,50
tooth disorder,5,80,35,50
torticollis,0,60,20,50
tourette syndrome,5,30,12,75
toxic multinodular goiter,40,90,65,25
toxoplasmosis,0,80,30,50
tracheitis,0,20,5,55
trichiasis,20,80,55,45
trichinosis,5,70,35,55
trichomonas infection,15,60,30,30
tricuspid valve disease,30,90,60,45
trigeminal neuralgia,40,90,60,55
trigger finger (finger disorder),30,80,50,45
tuberculosis,5,80,35,55
tuberous sclerosis,0,40,10,50
typhoid fever,5,50,20,55
ulcerative colitis,10,60,30,50
urethral disorder,20,80,45,55
urethral stricture,20,80,45,70
urethritis,15,45,30,55
urge incontinence,20,90,55,30
urinary tract infection,0,90,35,20
urinary tract obstruction,30,90,60,55
uterine atony,18,45,30,0
uterine cancer,40,85,60,0
uveitis,15,60,40,50
vacterl syndrome,0,5,0,50
vaginal cyst,15,50,30,0
vaginismus,18,45,30,0
valley fever,10,70,40,60
varicocele of the testicles,15,50,30,100
varicose veins,30,90,55,40
vasculitis,20,80,50,50
venous insufficiency,40,95,65,45
vertebrobasilar insufficiency,50,95,70,55
vesicoureteral reflux,0,20,5,45
viral exanthem,0,20,5,50
viral hepatitis,10,80,35,55
vitamin a deficiency,0,80,20,50
vitamin b12 deficiency,20,90,60,45
vitamin d deficiency,0,90,50,45
vitreous degeneration,40,95,65,45
vitreous hemorrhage,30,90,60,55
von willebrand disease,0,70,20,45
vulvar cancer,40,85,65,0
vulvar disorder,15,80,40,0
vulvodynia,18,50,30,0
wernicke korsakoff syndrome,30,80,55,65
white blood cell disease,0,90,50,55
whooping cough,0,15,2,50
wilson disease,5,40,20,50
yeast infection,10,70,30,20
zenker diverticulum,50,95,70,60
